Species,Trait_resolution,SZ_L_0.25cm,SZ_0.25_0.5cm,SZ_0.5_1cm,SZ_1_2cm,SZ_2_4.cm,LOCO_full_water_swimmer,LOCO_crawler,LOCO_burrower,LOCO_interstitial,LOCO_temporarily.attached,LOCO_permanently_attached,FOOD_microorganisms,FOOD_detritus,FOOD_plant_detritus,FOOD_living_microphytes,FOOD_living_macrophytes,FOOD_dead_animals,FOOD_living_microinvertebrates,FOOD_living_macroinvertebrates,FH_deposit_feeder,FH_shredder,FH_scraper,FH_filter_feeder,FH_piercer,FH_predator,FH_parasite
Agapetus delicatulus,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agapetus fuscipes,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agapetus ochripes,Genus,0,0,3,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,0
Agraylea multipunctata,Genus,0,3,1,0,0,1,3,0,0,1,0,0,2,0,2,4,0,0,0,1,0,0,0,3,0,0
Agraylea sexmaculata,Genus,0,3,1,0,0,1,3,0,0,1,0,0,2,0,2,4,0,0,0,1,0,0,0,3,0,0
Agrypnia obsoleta,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Agrypnia pagetana,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Agrypnia varia,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,1,3,1,1,2,4,0,3,1,0,0,1,0
Odontocerum albicorne,Species,0,0,0,3,1,0,3,2,0,0,0,0,0,0,1,3,0,3,2,0,3,0,0,0,3,0
Allogamus auricollis,Genus,0,0,0,1,3,0,5,0,0,0,0,0,0,3,2,1,0,0,2,0,3,1,0,0,1,0
Anabolia nervosa,Genus,0,0,0,2,3,0,5,0,0,0,0,0,1,3,3,3,0,0,1,1,3,2,0,0,1,0
Apatania muliebris,Genus,0,0,3,1,0,0,5,0,0,1,0,0,1,1,4,1,0,0,1,1,0,3,0,0,1,0
Athripsodes albifrons,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
Athripsodes aterrimus,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
Athripsodes bilineatus,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
Athripsodes cinereus,Genus,0,0,2,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0,0,0
Beraea maurus,Genus,0,1,3,0,0,0,5,0,0,0,0,0,1,2,3,0,2,0,0,1,3,0,0,0,0,0
Beraea pullata,Genus,0,1,3,0,0,0,5,0,0,0,0,0,1,2,3,0,2,0,0,1,3,0,0,0,0,0
Neureclipsis bimaculata,Species,0,0,1,3,0,1,1,0,0,3,0,0,0,1,1,1,0,3,2,0,0,0,3,0,3,0
Brachycentrus subnubilus,Genus,0,0,1,3,0,0,2,0,0,3,0,0,1,1,2,3,0,2,0,0,2,2,3,0,1,0
Ceraclea albimacula,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Ceraclea annulicornis,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Ceraclea dissimilis,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Ceraclea fulva,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Ceraclea nigronervosa,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Ceraclea senilis,Genus,0,0,2,3,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,1,3,1,0,0,1,1
Crunoecia irrorata,Genus,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
Cyrnus flavidus,Genus,0,0,3,1,0,1,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,0
Cyrnus trimaculatus,Genus,0,0,3,1,0,1,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,0
Drusus annulatus,Genus,0,0,0,3,0,0,5,0,0,0,0,1,0,1,3,2,0,0,2,0,2,3,0,0,0,0
Ecclisopteryx dalecarlica,Genus,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,3,1,0,0,0,0
Ecnomus tenellus,Genus,0,0,3,0,0,0,3,2,0,2,1,0,0,0,0,0,0,2,1,0,2,0,3,0,1,0
Diplectrona felix,Species,0,0,3,0,0,0,2,0,0,3,0,0,3,0,0,2,0,1,1,0,0,0,3,0,1,0
Psychomyia fragilis,Species,0,0,3,0,0,0,2,0,0,3,0,0,1,0,3,0,0,0,0,0,0,3,2,0,0,0
Glossosoma boltoni,Genus,0,0,3,1,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0
Glossosoma conformis,Genus,0,0,3,1,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0
Halesus digitatus,Genus,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,1,2,0,3,0,0,0,0,0
Halesus radiatus,Genus,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,1,2,0,3,0,0,0,0,0
Lepidostoma hirtum,Species,0,0,3,1,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,3,1,0,0,0,0
Holocentropus dubius,Genus,0,0,1,3,0,1,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,0
Holocentropus picicornis,Genus,0,0,1,3,0,1,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,0
Hydropsyche angustipennis,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche contubernalis,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche fulvipes,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche instabilis,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche pellucidula,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche saxonica,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydropsyche siltalai,Genus,0,0,1,3,1,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,3,0,1,0
Hydroptila vectis,Genus,0,3,1,0,0,0,3,0,0,1,0,0,2,0,1,4,0,0,0,1,1,1,0,3,0,0
Ithytrichia lamellaris,Genus,0,3,0,0,0,0,3,0,0,1,0,0,2,0,4,1,0,0,0,1,1,3,0,0,0,0
Cheumatopsyche lepida,Species,0,0,3,1,0,0,2,0,0,3,0,0,2,0,2,0,0,2,0,0,0,0,3,0,1,0
Leptocerus tineiformis,Genus,0,0,3,0,0,1,3,0,0,0,0,0,2,0,1,3,0,0,1,1,3,1,0,0,0,0
Lype phaeopa,Genus,0,0,3,1,0,0,2,0,0,3,1,0,2,3,1,0,0,1,0,0,0,3,1,0,0,0
Lype reducta,Genus,0,0,3,1,0,0,2,0,0,3,1,0,2,3,1,0,0,1,0,0,0,3,1,0,0,0
Chimarra marginata,Species,0,0,3,0,0,0,2,0,0,3,0,0,3,0,3,0,0,0,0,0,0,2,3,0,0,0
Melampophylax mucoreus,Genus,0,0,0,3,2,0,5,0,0,0,0,0,0,3,2,3,0,0,0,0,3,0,0,0,0,0
Trichostegia minor,Species,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,1,0,3,0,0,0,2,0,0,2,0
Beraeodes minutus,Species,0,1,3,0,0,0,5,0,0,0,0,0,1,2,3,0,2,0,0,0,3,0,0,0,0,0
Molanna angustata,Genus,0,0,0,3,0,0,4,1,0,0,0,0,0,2,1,0,0,3,2,1,0,1,0,0,3,0
Mystacides azurea,Genus,0,0,3,1,0,1,4,0,0,0,0,0,2,0,2,4,0,0,1,1,3,2,0,0,0,0
Mystacides longicornis,Genus,0,0,3,1,0,1,4,0,0,0,0,0,2,0,2,4,0,0,1,1,3,2,0,0,0,0
Mystacides nigra,Genus,0,0,3,1,0,1,4,0,0,0,0,0,2,0,2,4,0,0,1,1,3,2,0,0,0,0
Notidobia ciliaris,Genus,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0
Oecetis lacustris,Genus,0,0,3,1,0,1,4,0,0,0,0,0,1,1,2,3,0,2,0,1,3,1,0,0,1,0
Oecetis notata,Genus,0,0,3,1,0,1,4,0,0,0,0,0,1,1,2,3,0,2,0,1,3,1,0,0,1,0
Oecetis ochracea,Genus,0,0,3,1,0,1,4,0,0,0,0,0,1,1,2,3,0,2,0,1,3,1,0,0,1,0
Oecetis testacea,Genus,0,0,3,1,0,1,4,0,0,0,0,0,1,1,2,3,0,2,0,1,3,1,0,0,1,0
Oxyethira flavicornis,Genus,1,3,0,0,0,1,1,0,0,3,0,0,2,0,1,3,0,0,0,1,0,0,0,3,0,0
Glyphotaelius pellucidus,Species,0,0,0,3,1,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0
Philopotamus montanus,Genus,0,0,1,3,0,0,2,0,0,3,0,0,2,0,3,1,0,0,1,0,0,2,3,0,1,0
Phryganea bipunctata,Genus,0,0,0,0,3,0,5,0,0,0,0,0,0,1,3,1,1,3,2,0,3,1,0,0,1,0
Phryganea grandis,Genus,0,0,0,0,3,0,5,0,0,0,0,0,0,1,3,1,1,3,2,0,3,1,0,0,1,0
Goera pilosa,Species,0,0,0,3,0,0,5,0,0,1,0,0,1,2,3,0,0,0,0,0,1,3,0,0,0,0
Plectrocnemia conspersa,Genus,0,0,0,3,2,1,1,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,0
Plectrocnemia geniculata,Genus,0,0,0,3,2,1,1,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,0
Polycentropus flavomaculatus,Genus,0,0,1,3,0,1,1,0,0,3,0,0,1,1,3,1,0,3,4,0,1,0,1,0,3,0
Polycentropus irroratus,Genus,0,0,1,3,0,1,1,0,0,3,0,0,1,1,3,1,0,3,4,0,1,0,1,0,3,0
Polycentropus kingi,Genus,0,0,1,3,0,1,1,0,0,3,0,0,1,1,3,1,0,3,4,0,1,0,1,0,3,0
Psychomyia pusilla,Species,0,1,3,0,0,0,2,0,0,3,1,0,1,0,5,1,0,1,0,1,0,3,2,0,0,0
Rhyacophila dorsalis,Genus,0,0,1,3,2,2,3,0,0,1,0,0,1,1,1,0,0,1,5,0,0,0,0,0,3,0
Rhyacophila fasciata,Genus,0,0,1,3,2,2,3,0,0,1,0,0,1,1,1,0,0,1,5,0,0,0,0,0,3,0
Rhyacophila munda,Genus,0,0,1,3,2,2,3,0,0,1,0,0,1,1,1,0,0,1,5,0,0,0,0,0,3,0
Rhyacophila obliterata,Genus,0,0,1,3,2,2,3,0,0,1,0,0,1,1,1,0,0,1,5,0,0,0,0,0,3,0
Sericostoma personatum,Genus,0,0,0,3,0,0,4,1,1,0,0,0,0,3,1,2,0,1,1,0,3,1,0,0,0,0
Silo nigricornis,Genus,0,0,3,1,0,0,4,0,0,2,1,0,1,1,4,0,0,0,0,0,1,3,0,0,0,0
Silo pallipes,Genus,0,0,3,1,0,0,4,0,0,2,1,0,1,1,4,0,0,0,0,0,1,3,0,0,0,0
Oligotricha striata,Species,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,3,0
Tinodes maclachlani,Genus,0,1,3,1,0,0,2,0,0,3,1,0,2,0,3,1,0,2,1,1,0,3,2,0,1,0
Tinodes unicolor,Genus,0,1,3,1,0,0,2,0,0,3,1,0,2,0,3,1,0,2,1,1,0,3,2,0,1,0
Tinodes waeneri,Genus,0,1,3,1,0,0,2,0,0,3,1,0,2,0,3,1,0,2,1,1,0,3,2,0,1,0
Triaenodes bicolor,Genus,0,0,3,2,0,2,4,0,0,0,0,0,2,0,1,2,0,0,0,0,3,1,0,0,0,0
Wormaldia occipitalis,Genus,0,0,3,0,0,0,2,0,0,3,0,0,3,0,3,0,0,0,0,0,0,2,3,0,0,0
